name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
O. A. Pedersen,Norwegian,1899 November,Third Class Tidewaiter,1900 June,,,,Kowloon,,,,,,,,
F. de A. Burton,British,1900 January,Third Class Tidewaiter,1900 June,,,,Shanghai,,,,,,,,
W. A. Roberts,British,1900 February,Third Class Tidewaiter,1900 June,,,,Shanghai,,,,,,,,
R. J. Stephens,American,1900 February,Third Class Tidewaiter,1900 July,,,,Amoy,,,,,,,,
P. H. Quayle,British,1899 December,Third Class Tidewaiter,1900 August,,,,Shanghai,,,,,,,,
E. Richmond,British,1899 December,Third Class Tidewaiter,1900 August,,,,Kowloon,,,,,,,,
J. Mottram,British,1900 May,Third Class Tidewaiter,1900 September,,,,Kiungchow,,,,,,,,
B. Elias,British,1898 October,Third Class Tidewaiter,1900 November,,,,Lappa,,,,,,,,
V. Roth,German,1900 April,Third Class Tidewaiter,1900 November,,,,Kiaochow,,,,,,,,
J. H. Schläger,German,1900 April,Third Class Tidewaiter,1900 November,,,,Kiaochow,,,,,,,,
J. B. Persson,American,1900 September,Third Class Tidewaiter,1900 November,,,,Swatow,,,,,,,,
C. King,British,1900 May,Third Class Tidewaiter,1900 December,,,,Canton,,,,,,,,
J. B. Möller,Swedish,1900 May,Third Class Tidewaiter,1900 December,,,,Kowloon,,,,,,,,
H. Howard,British,1898 November,Third Class Tidewaiter,1900 December,,,,Lappa,,,,,,,,
E. Kennedy,American,1900 May,Third Class Tidewaiter,1900 December,,,,Kowloon,,,,,,,,
W. Burn,British,1900 April,Probationary Tidewaiter,1901 January,,,,Nanking,,,,,,,,
St. C. C. da Silva,Portuguese,1900 April,Probationary Tidewaiter,1901 January,,,,Lappa,,,,,,,,
A. D. Nelson,American,1900 May,Probationary Tidewaiter,1901 January,,,,Kowloon,,,,,,,,
F. Pawelka,Austrian,1900 August,Probationary Tidewaiter,1901 February,,,,Kowloon,,,,,,,,
W. R. Walker,British,1900 August,Probationary Tidewaiter,1901 February,,,,Kowloon,,,,,,,,
F. Seiferth,German,1900 July,Probationary Tidewaiter,1901 March,,,,Kiaochow,,,,,,,,
J. Lelas,British,1900 September,Probationary Tidewaiter,1901 March,,,,Amoy,,,,,,,,
M. B. Nilsen,Norwegian,1900 September,Probationary Tidewaiter,1901 March,,,,Canton,,,,,,,,
O. Rateau,French,1899 August,Probationary Tidewaiter,1901 April,,,,Canton,,,,,,,,
C. Reinhardt,German,1897 December,Probationary Tidewaiter,1901 April,,,,Kiungchow,,,,,,,,
G. J. Hylander,Swedish,1900 June,Probationary Tidewaiter,1901 April,,,,Soochow,,,,,,,,
C. Newton,British,1900 June,Probationary Tidewaiter,1901 April,,,,Hangchow,,,,,,,,
A. S. Harrald,British,1900 July,Probationary Tidewaiter,1901 April,,,,Shanghai,,,,,,,,
A. D. Horne,British,1900 September,Probationary Tidewaiter,1901 April,,,,Ichang,,,,,,,,
B. Christiansen,Danish,1901 January,Probationary Tidewaiter,1901 April,,,,Shanghai,,,,,,,,
R. Emanuel,British,1901 March,Probationary Tidewaiter,1901 April,,,,Shanghai,,,,,,,,
W. E. Talbot,British,1901 March,Probationary Tidewaiter,1901 April,,,,Shanghai,,,,,,,,
H. N. Wienberg,British,1901 March,Probationary Tidewaiter,1901 April,,,,Shanghai,,,,,,,,
L. C. Passano,American,1901 March,Probationary Tidewaiter,1901 April,,,,Chefoo,,,,,,,,
B. C. Gleason,British,1901 March,Probationary Tidewaiter,1901 April,,,,Chinkiang,,,,,,,,
R. A. Thompson,British,1900 November,Probationary Tidewaiter,1901 May,,,,Canton,,,,,,,,
G. O. Lee,British,1901 March,Probationary Tidewaiter,1901 May,,,,Ningpo,,,,,,,,
A. B. Prittwitz,German,1901 June,Probationary Tidewaiter,1901 June,,,,Tientsin,,,,,,,,
C. E. J. Rhoderick,British,1901 June,Probationary Tidewaiter,1901 June,,,,Tientsin,,,,,,,,
M. M. O'Connor,British,1901 April,Probationary Tidewaiter,1901 June,,,,Yochow,,,,,,,,
C. Burns,American,1901 March,Probationary Tidewaiter,1901 July,,,,Shanghai,,,,,,,,
E. Watson,British,1901 April,Probationary Tidewaiter,1901 July,,,,Shanghai,,,,,,,,
J. de la Cruz,Spanish,1891 November,Watcher,,,,,Hankow,,,,,,,,
L. Balada,Spanish,1894 July,Watcher,,,,,Hankow,,,,,,,,
H. de la Vega,Spanish,1896 January,Watcher,,,,,Hankow,,,,,,,,
W. B. Lipson,American,1899 July,Watcher,,,,,Lappa,,,,,,,,
G. W. Thronstad ,Norwegian,1899 August,Watcher,,,,,Lappa,,,,,,,,
V. Drayson,British,1899 August,Watcher,,,,,Lappa,,,,,,,,
O. Rasmussen,Norwegian,1899 August,Watcher,,,,,Lappa,,,,,,,,
P. V. Jackson,British,1899 October,Watcher,,,,,Lappa,,,,,,,,
